"","parque","idade","sexo","escolar","renda","infraestrutura","sombra","temperatura","lance1","lance2","resp1","resp2"
"89","13demaio",67,1,0,4000,0,1,0,61,57,"0","0"
"90","13demaio",49,1,1,25000,0,0,0,35,2,"0","0"
"91","13demaio",70,1,0,6000,1,1,1,46,27,"0","0"
"92","13demaio",45,1,1,2300,0,1,1,45,34,"0","0"
"93","13demaio",44,1,1,5000,0,0,1,39,1,"0","1"
"94","13demaio",40,1,0,5000,0,1,1,30,59,"1","0"
"95","13demaio",43,0,0,200,1,1,1,55,60,"1","1"
"96","13demaio",20,0,0,600,0,1,0,30,58,"1","1"
"97","13demaio",65,1,0,998,1,1,1,34,26,"0","1"
"98","13demaio",58,1,1,11000,1,1,1,1,58,"1","1"
"99","13demaio",39,1,0,4000,0,1,1,55,63,"1","1"
"100","13demaio",19,1,0,2000,1,1,1,25,47,"1","1"
"101","13demaio",21,1,0,1500,0,1,1,18,63,"1","1"
"102","13demaio",30,1,0,1433,0,1,1,53,45,"0","0"
"103","13demaio",40,1,0,2500,1,1,1,22,21,"0","0"
"104","13demaio",24,1,0,2500,1,1,1,50,51,"1","1"
"105","13demaio",26,1,1,15000,1,1,1,19,53,"1","1"
"106","13demaio",52,1,0,3800,1,1,1,13,62,"1","0"
"107","13demaio",53,0,0,1000,0,0,1,51,54,"1","1"
"108","13demaio",28,0,1,1300,0,1,1,26,35,"1","0"
"109","13demaio",45,1,0,3500,0,1,1,63,67,"1","1"
"110","13demaio",46,1,1,2300,0,1,1,3,61,"1","0"
"111","13demaio",33,1,0,900,1,1,1,16,44,"1","0"
"112","13demaio",26,0,0,900,0,1,1,20,43,"1","1"
"113","13demaio",54,0,1,2000,1,1,1,7,47,"1","0"
"114","13demaio",33,0,0,1200,1,0,1,60,52,"0","0"
"115","13demaio",53,1,0,998,1,1,1,15,40,"1","0"
"116","13demaio",40,0,0,1000,0,1,1,25,6,"0","0"
"117","13demaio",28,1,0,1000,1,1,1,57,53,"0","1"
"118","13demaio",40,0,0,1000,1,1,1,2,25,"1","0"
"119","13demaio",28,1,0,1300,1,1,0,26,30,"1","1"
"120","13demaio",23,0,0,1000,1,1,1,58,68,"1","0"
"121","13demaio",38,0,0,1000,1,1,1,64,67,"1","0"
"122","13demaio",75,1,0,1000,1,1,0,37,29,"0","0"
"123","13demaio",50,1,0,2500,1,1,1,19,42,"1","0"
"124","13demaio",30,1,0,2000,0,1,0,35,58,"1","0"
"125","13demaio",29,1,1,1000,0,1,1,38,41,"1","1"
"126","13demaio",33,1,1,5600,0,1,1,26,26,"0","0"
"127","13demaio",33,1,1,2000,1,1,1,48,52,"1","1"
"128","13demaio",50,0,0,998,0,1,1,56,13,"0","0"
"129","13demaio",51,0,0,1200,1,1,1,32,19,"0","1"
"130","13demaio",60,1,0,3000,0,1,0,36,32,"0","0"
"131","13demaio",46,0,1,1400,1,1,1,25,29,"1","0"
"132","13demaio",65,0,0,998,1,1,1,12,3,"0","0"
"133","13demaio",39,1,0,1200,0,0,1,69,39,"0","0"
"134","13demaio",55,1,0,4200,1,1,1,25,52,"1","1"
"135","13demaio",56,1,1,5000,0,1,1,42,50,"1","1"
"136","13demaio",41,1,1,2000,0,1,1,65,34,"0","0"
"137","13demaio",29,1,1,998,0,0,1,48,27,"0","0"
"138","13demaio",33,1,0,4800,0,1,1,48,23,"0","0"
"139","13demaio",71,1,0,1000,1,1,1,51,26,"0","0"
"140","13demaio",45,1,0,998,0,1,0,4,2,"0","0"
"141","13demaio",38,1,0,1000,1,1,1,23,8,"0","0"
"142","13demaio",50,1,0,998,0,1,1,16,5,"0","0"
"143","13demaio",27,1,0,998,0,1,1,28,27,"0","0"
