"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"119",1,1,26,30,28,1,11,4,3,1300,2
"120",1,0,58,68,23,2,16,5,4,1000,4
"121",1,0,64,67,38,2,16,4,4,1000,4
"122",0,0,37,29,75,1,0,5,3,1000,2
"123",1,0,19,42,50,1,16,4,4,2500,2
"124",1,0,35,58,30,1,16,3,3,2000,4
"125",1,1,38,41,29,1,20,3,4,1000,7
"126",0,0,26,26,33,1,22,2,5,5600,7
"127",1,1,48,52,33,1,20,4,4,2000,7
"128",0,0,56,13,50,2,15,1,4,998,3
"129",0,1,32,19,51,2,17,4,4,1200,3
"130",0,0,36,32,60,1,13,3,3,3000,2
"131",1,0,25,29,46,2,20,4,4,1400,3
"132",0,0,12,3,65,2,16,4,5,998,3
"133",0,0,69,39,39,1,16,3,4,1200,NA
"134",1,1,25,52,55,1,16,4,5,4200,3
"135",1,1,42,50,56,1,20,3,4,5000,3
"136",0,0,65,34,41,1,20,2,5,2000,3
"137",0,0,48,27,29,1,20,1,4,998,2
"138",0,0,48,23,33,1,16,1,4,4800,2
"139",0,0,51,26,71,1,16,4,4,1000,2
"140",0,0,4,2,45,1,13,3,3,998,6
"141",0,0,23,8,38,1,16,4,4,1000,2
"142",0,0,16,5,50,1,8,3,5,998,6
"143",0,0,28,27,27,1,15,3,5,998,3
"144",1,1,57,62,30,1,16,3,5,1500,3
"145",1,1,56,62,59,1,15,4,3,998,2
"146",1,1,51,68,40,2,8,5,4,998,4
"147",1,0,18,59,26,1,16,5,5,1080,2
"148",1,0,53,59,22,2,18.5,3,3,384,7
"149",1,0,38,51,58,3,9,3,3,170,4
"150",1,1,50,65,48,2,11,1,5,200,2
"151",1,1,48,68,34,1,16,4,4,1000,2
"152",1,1,33,34,26,1,16,4,4,15000,2
"153",1,1,48,56,55,1,10,4,5,1300,2
"154",0,0,37,19,28,1,11,4,5,400,7
"155",1,0,12,22,34,2,12,5,4,998,2
"156",0,0,44,22,41,1,12,1,4,1000,2
"157",1,0,16,60,40,1,16,5,1,91,7
"158",1,0,10,13,57,2,20,3,3,2500,2
"159",1,0,12,20,53,2,20,3,3,5000,2
"160",1,0,3,31,36,2,16,2,3,1000,5
"161",0,0,24,13,36,2,16,3,3,1500,4
"162",0,0,25,21,64,2,16,4,4,998,2
"163",0,0,63,33,28,2,11,4,5,91,2
"164",1,1,38,64,42,1,8,5,4,1100,4
"165",1,0,65,66,46,2,8,4,5,500,2
"166",0,0,47,22,38,1,12,5,4,998,2
"167",1,1,69,70,42,1,16,4,4,700,7
"168",1,1,33,48,63,1,12,4,4,600,7
"169",1,1,37,66,54,2,20,3,3,3000,2
"170",0,0,8,2,20,1,16,5,3,250,2
"171",1,0,33,35,20,1,16,3,4,1200,2
"172",1,1,21,40,33,1,16,3,3,1500,4
"173",0,1,54,26,30,2,10,4,3,253,7
"174",1,1,39,68,31,1,16,4,5,998,7
"175",1,0,22,31,31,1,20,3,3,1000,7
"176",0,0,7,4,34,1,22,3,3,3000,7
"177",1,1,20,67,65,1,20,3,4,15000,7
"178",0,0,60,49,54,2,16,3,4,998,7
"179",1,1,44,61,23,1,17,3,5,1000,3
"180",1,1,12,25,28,2,16,3,5,1300,3
"181",0,0,50,32,52,1,16,3,5,2000,2
"182",0,0,39,9,21,2,6,3,2,1500,7
"183",0,0,20,3,40,1,16,4,4,998,4
"184",0,0,51,45,28,2,16,4,4,998,4
"185",1,1,2,23,51,1,16,3,5,2300,7
"186",1,1,13,18,21,2,18,3,5,1075,2
"187",1,1,25,57,34,1,18,4,5,2000,4
"188",1,0,48,67,32,2,14,3,5,370,2
"189",0,0,21,13,71,1,12,3,4,2000,2
"190",1,0,23,44,28,2,16,4,4,1225,2
"191",1,0,44,64,45,1,20,2,4,2000,6
"192",0,0,51,9,40,1,9,4,4,1800,2
"193",0,0,16,11,19,2,21,3,3,700,7
"194",1,1,20,61,25,1,10,3,5,1000,4
"195",0,0,25,1,42,1,20,1,4,2000,7
"196",1,1,15,48,47,1,20,2,4,2000,7
"197",1,1,20,28,56,1,16,3,3,1500,7
"198",1,1,10,63,38,1,20,3,4,1700,0
"199",1,1,64,68,34,1,17,1,2,1200,7
"200",0,0,50,34,25,1,19,3,4,700,2
"201",0,1,28,25,32,2,16,1,1,1300,2
"202",0,0,68,31,31,1,16,4,4,998,2
"203",1,0,3,56,46,2,13,3,4,2500,7
"204",1,1,25,66,50,1,10,3,4,2500,7
"205",0,0,40,10,32,1,16,4,4,1400,2
"206",1,1,64,67,31,1,16,3,5,998,2
"207",1,1,30,70,34,2,16,3,5,900,2
"208",0,0,55,29,60,1,16,3,4,998,2
"209",1,0,13,69,27,1,16,4,4,2000,2
"210",1,1,65,66,35,2,16,5,5,350,7
"211",1,1,45,47,35,1,16,3,3,998,4
"212",1,0,12,68,56,2,11,3,5,1200,2
"213",0,0,36,6,52,1,12,3,5,2700,2
"214",1,1,17,22,45,1,10,5,5,1000,2
"215",1,0,26,64,34,2,16,4,5,1800,4
"216",1,0,15,57,30,2,20,4,3,2500,3
"217",1,1,10,47,33,2,16,3,3,600,4
"218",1,0,9,63,42,2,20,5,4,5000,4
"219",1,0,31,67,48,2,16,4,4,5000,4
"220",1,0,33,63,24,1,16,5,4,2900,3
"221",1,1,11,19,41,1,20,4,4,10000,4
"222",0,0,53,24,73,1,16,5,4,1800,4
"223",1,0,37,62,28,1,16,5,5,6000,1
"224",1,1,27,44,34,2,20,4,4,8000,4
"225",1,1,11,56,20,1,16,5,4,500,3
"226",1,1,7,58,34,2,15,4,4,1000,4
"227",1,1,15,56,35,1,22,4,4,7000,4
"228",1,1,9,19,65,1,20,4,4,12000,3
"229",0,1,26,10,50,1,20,4,3,5000,4
"230",1,1,43,64,51,2,22,5,5,7000,7
"231",1,1,44,54,30,2,20,4,4,2000,2
"232",0,1,46,27,28,2,16,3,2,1200,4
"233",0,1,22,1,28,1,16,3,5,150,3
"234",0,0,27,23,46,2,16,3,4,2000,4
"235",1,1,16,37,25,2,22,5,4,3600,1
"236",0,0,46,16,41,2,19,5,4,6000,3
"237",0,1,30,3,36,1,16,4,4,4000,2
"238",1,1,48,68,33,2,7,4,4,1000,4
"239",1,1,41,66,46,2,16,5,4,800,3
"240",1,0,10,59,53,3,20,5,3,2500,3
"241",1,1,6,18,27,2,22,4,4,2500,7
"242",1,0,53,54,49,1,20,3,3,2000,2
"243",0,1,57,5,63,2,16,5,4,6000,4
"244",1,1,23,38,33,2,22,4,4,3000,7
"245",1,0,16,44,54,1,10,3,4,900,3
"246",1,0,13,51,27,1,12,5,5,4000,4
"247",1,1,21,23,43,1,22,3,3,2000,4
"248",1,0,31,55,32,2,22,4,4,1800,4
"249",1,1,46,58,47,1,22,4,4,8000,4
"250",0,0,65,13,45,2,22,4,3,1500,2
"251",0,0,61,56,49,3,22,4,4,2000,2
"252",1,0,2,4,63,1,22,1,3,6000,3
"253",1,0,35,62,19,1,16,5,3,980,6
"254",1,0,45,49,20,2,16,5,4,1150,7
"255",1,1,34,36,19,1,16,5,4,1300,7
"256",0,1,41,30,77,2,10,4,4,980,4
"257",1,1,32,34,41,1,22,3,3,7000,3
"258",1,0,10,28,40,2,20,4,4,6000,7
"259",1,1,47,62,65,2,13,5,4,2000,6
"260",1,1,58,66,36,2,16,4,5,3000,4
"261",1,1,6,23,62,1,22,3,4,30000,2
"262",0,0,33,7,51,2,18,5,4,1000,7
"263",1,1,47,50,34,1,22,4,4,20000,4
"264",0,1,24,4,41,1,22,3,3,10000,4
"265",1,0,19,28,37,2,16,5,4,1200,3
"266",1,0,9,23,59,2,16,5,4,2900,7
"267",0,0,66,31,60,2,16,3,3,2500,4
"268",1,0,2,22,34,1,20,5,5,5000,4
"269",1,1,41,53,37,1,12,4,4,2000,3
"270",1,0,34,66,39,1,16,4,4,2900,2
"271",1,0,35,60,53,2,14,5,4,1800,3
"272",1,0,41,48,38,2,20,4,3,600,3
"273",1,1,57,62,18,1,14,5,3,468,1
"274",1,0,29,36,31,1,20,4,5,14000,4
"275",1,1,65,68,23,1,16,4,5,2200,3
"276",0,0,12,10,60,1,20,3,3,2000,3
"277",1,0,16,44,22,2,20,4,4,1500,2
"278",1,0,67,70,67,1,20,4,5,5000,3
"279",1,1,16,37,44,1,22,4,4,8000,4
"280",0,1,62,13,43,2,22,4,3,4500,4
"281",0,0,68,33,52,2,14,3,3,5000,4
"282",0,0,47,26,36,2,20,4,5,6000,3
"283",1,1,28,45,19,1,16,4,3,1000,7
"284",1,1,14,31,40,1,22,3,3,6000,2
"285",1,1,67,68,23,2,18,4,3,800,7
"286",1,1,19,67,53,1,22,4,4,10000,4
"287",0,0,22,18,33,1,22,4,3,8000,2
"288",1,1,7,25,51,1,20,4,4,6000,3
"289",1,1,28,67,32,1,20,5,5,7000,2
"290",1,1,20,66,50,2,20,5,3,3000,3
"291",1,1,8,56,40,1,16,3,3,2000,3
"292",1,1,16,64,49,1,20,4,4,8000,3
"293",1,1,8,68,63,2,9,3,3,1200,3
"294",1,0,25,55,51,1,20,3,5,4300,3
"295",1,1,4,58,36,2,20,3,4,3800,3
"296",1,0,14,63,48,1,13,4,5,3000,3
"297",1,1,43,47,71,1,16,4,3,3300,2
"298",1,0,35,65,33,2,16,4,3,1850,3
"299",1,1,11,49,58,1,20,5,5,2800,2
"300",1,1,38,64,36,1,16,4,4,1400,3
"301",1,1,14,44,46,2,16,4,4,1700,4
"302",1,0,26,64,34,2,16,4,5,1800,4
"303",1,0,15,57,30,2,20,4,3,2500,3
"304",1,1,10,47,33,2,16,3,3,600,4
"305",1,0,9,63,42,2,20,5,4,5000,4
"306",1,0,31,67,48,2,16,4,4,5000,4
"307",1,0,33,63,24,1,16,5,4,2900,3
"308",1,1,11,19,41,1,20,4,4,10000,4
"309",1,0,24,53,73,1,16,5,4,1800,4
"310",1,0,37,62,28,1,16,5,5,6000,1
"311",1,1,27,44,34,2,20,4,4,8000,4
"312",1,1,11,56,20,1,16,5,4,500,3
"313",1,1,7,58,34,2,15,4,4,1000,4
"314",1,1,7,25,51,1,20,4,4,6000,3
"315",1,1,28,67,32,1,20,5,5,7000,2
"316",1,1,20,66,50,2,20,5,3,3000,3
"317",1,1,8,56,40,1,16,3,3,2000,3
"318",1,1,16,64,49,1,20,4,4,8000,3
"319",1,1,8,68,63,2,9,3,3,1200,3
"320",1,0,25,55,51,1,20,3,5,4300,3
"321",1,1,4,58,36,2,20,3,4,3800,3
"322",1,0,14,63,48,1,13,4,5,3000,3
"323",1,1,43,47,71,1,16,4,3,3300,2
"324",1,0,35,65,33,2,16,4,3,1850,3
"325",1,1,11,49,58,1,20,5,5,2800,2
"326",1,1,38,64,36,1,16,4,4,1400,3
"327",1,1,14,44,46,2,16,4,4,1700,4
"328",1,0,36,62,29,2,22,4,3,5000,3
"329",1,0,31,45,35,2,20,3,2,7000,3
"330",1,0,2,62,26,2,22,4,4,4000,2
"331",1,0,35,69,40,1,20,4,3,5000,3
"332",1,1,24,66,35,1,16,4,4,7000,4
"333",1,0,10,68,65,2,16,4,4,4000,4
"334",1,1,35,57,60,1,20,4,3,8000,4
"335",1,1,39,65,39,2,16,5,4,1000,2
"336",1,0,34,70,34,2,22,2,4,10000,4
"337",1,0,38,52,45,2,22,5,4,3000,3
"338",1,1,14,39,41,2,20,3,4,5000,2
"339",1,1,6,69,30,2,20,3,4,600,3
"340",1,0,12,53,26,1,16,3,4,1000,3
"341",1,0,46,68,24,2,20,4,4,2000,2
"342",1,0,31,52,70,1,16,4,4,3500,2
"343",1,1,41,57,52,1,11,3,4,900,7
"344",0,0,28,21,32,2,20,3,4,2000,4
"345",1,1,12,50,65,1,9,3,3,1500,7
"346",0,0,45,1,27,2,13,4,4,90,4
"347",1,1,6,41,38,2,22,4,4,2100,3
"348",1,0,10,26,34,2,20,3,3,5000,4
"349",1,0,24,44,51,1,20,3,3,8000,4
"350",1,1,5,6,18,1,16,2,3,1700,2
"351",0,1,36,13,28,2,20,4,4,1000,7
"352",0,0,66,21,58,2,20,3,4,1800,7
"353",1,0,49,66,52,2,16,5,5,1500,4
"354",1,1,27,39,20,2,19,4,4,1000,4
"355",1,1,34,37,36,2,20,4,5,3000,4
"356",0,1,37,21,55,1,9,5,4,920,7
"357",0,0,46,5,46,1,16,3,3,3000,4
"358",1,0,15,62,36,2,16,4,5,500,2
"359",0,0,26,7,59,2,20,3,3,7000,2
"360",0,0,19,5,32,1,20,4,4,10000,2
"361",1,1,20,37,19,2,18,3,4,450,2
"362",1,0,19,57,27,2,16,4,3,900,4
"363",1,1,56,59,40,1,20,4,3,10000,2
"364",0,1,44,36,37,1,16,3,4,7000,4
"365",1,1,54,60,27,2,16,5,5,900,2
"366",1,0,53,70,24,1,20,4,3,1500,2
"367",1,1,4,12,48,2,20,4,5,3000,7
"368",1,0,46,59,30,2,16,4,4,2000,2
"369",1,0,6,37,33,1,20,3,4,2500,4
"370",1,1,58,70,52,1,12,5,4,3000,4
"371",0,0,68,66,42,1,16,4,3,2200,2
"372",0,0,63,10,46,1,22,3,4,10800,4
"373",0,1,67,20,19,2,17,5,2,940,3
"374",1,1,30,31,36,2,20,3,4,12000,4
"375",1,0,20,33,43,2,20,4,4,998,4
"376",1,0,3,70,57,2,20,4,3,4000,4
"377",1,1,2,4,62,2,22,4,4,5000,3
"378",1,1,36,70,38,1,16,4,5,1800,2
"379",1,0,54,65,36,2,20,5,5,2000,4
"380",1,0,37,42,78,2,20,4,4,3600,2
"381",1,1,12,18,23,2,16,3,4,1100,2
"382",1,1,7,16,42,1,20,4,4,7000,4
"383",0,0,19,18,65,2,16,3,3,998,7
"384",0,0,59,10,40,2,11,5,4,500,7
"385",0,0,68,14,38,2,20,4,4,1200,2
"386",1,0,32,68,33,2,16,4,5,998,2
"387",1,0,2,39,33,2,16,4,4,1400,2
"388",1,0,62,67,39,2,16,4,4,998,2
"389",1,1,62,67,38,1,20,4,4,4500,4
"390",1,0,30,60,38,1,16,4,4,2040,4
"391",1,1,1,28,39,2,20,4,4,5000,4
"392",0,0,63,39,50,1,16,5,3,4000,3
"393",0,1,42,5,30,1,16,4,4,1300,4
"394",1,0,37,59,41,2,20,4,2,600,4
"395",0,0,41,25,35,2,16,3,4,1000,4
"396",1,1,39,40,36,1,16,4,3,2000,4
"397",1,1,38,45,41,1,19,4,4,2000,4
"398",1,0,18,32,36,1,20,3,4,14000,4
"399",1,1,29,62,23,2,16,4,4,1800,4
"400",1,1,13,16,59,2,22,5,4,1800,4
"401",1,1,13,16,53,1,13,4,4,2000,7
"402",1,1,46,48,59,2,10,5,3,1000,4
"403",0,0,25,2,33,2,20,3,3,3000,4
"404",0,1,48,36,41,1,20,4,4,18000,4
"405",0,0,50,24,23,1,16,4,4,1000,2
"406",0,0,70,20,41,1,20,5,4,15000,2
"407",0,1,37,10,52,2,20,3,4,1000,4
"408",0,1,15,9,49,2,15,3,3,2000,4
"409",0,1,53,52,36,2,15,3,4,15000,4
"410",0,0,50,11,39,1,20,5,4,6000,4
"411",0,0,32,18,61,2,16,4,3,1800,4
