ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
60;sitio da trindade;27;2;recife;1;20;2;1500;0;3;30;3;5;4;3;63;0;8;1;8;14
61;sitio da trindade;29;2;recife;1;15;2;1400;1;6;30;4;4;4;2;68;0;26;0;26;17
62;sitio da trindade;24;1;recife;1;16;2;1400;1;2;15;4;4;5;5;4;0;1;1;1;14
63;sitio da trindade;28;2;recife;1;15;6;1300;1;3;1;3;3;3;2;44;1;56;0;7;56
64;sitio da trindade;24;2;recife;1;16;2;1300;1;3;3;4;4;4;4;4;1;63;0;2;63
65;sitio da trindade;51;1;recife;2;16;3;1200;2;3;20;4;5;5;4;26;0;25;1;25;19
66;sitio da trindade;31;1;recife;1;16;0;1000;0;3;1;4;5;5;4;67;1;69;1;8;69
67;sitio da trindade;22;1;recife;1;22;3;1000;0;3;2;3;2;2;2;12;1;68;1;3;68
68;sitio da trindade;63;2;recife;4;9;3;998;2;3;5;5;4;5;4;38;1;51;1;6;51
69;sitio da trindade;49;2;recife;2;15;4;998;0;3;20;3;1;2;3;46;0;9;0;9;50
70;sitio da trindade;46;1;recife;2;10;3;998;2;6;15;3;3;3;1;44;0;20;1;20;10
71;sitio da trindade;32;1;recife;2;15;2;998;5;2;1;3;3;5;5;15;1;18;1;4;18
72;sitio da trindade;62;1;recife;2;10;1;980;2;7;25;4;4;4;3;68;1;69;1;8;69
73;sitio da trindade;22;1;recife;1;7;5;800;0;3;2;3;2;1;2;31;0;15;1;15;28
74;sitio da trindade;53;2;vitoria de santo antao;2;9;6;400;1;7;4;2;1;2;3;67;0;30;0;30;27
75;sitio da trindade;36;2;recife;1;3;0;300;0;3;3;3;4;4;3;60;1;69;0;8;69
76;sitio da trindade;61;2;recife;2;9;5;200;2;3;15;4;3;4;4;47;1;53;0;7;53
77;13demaio;25;2;paulista;1;21;0;1500;;7;1;4;5;5;4;63;0;39;1;39;10
78;13demaio;30;2;olinda ;2;16;2;1300;1;4;1;3;4;4;4;54;0;37;0;37;34
79;13demaio;71;2;recife;1;16;3;1780;1;2;1;3;5;5;5;9;0;6;0;6;53
80;13demaio;42;1;recife;2;16;2;1200;2;2;1;4;4;4;4;19;1;52;0;4;52
81;13demaio;27;2;olinda;1;13;0;244;2;4;4;3;5;5;4;70;0;23;0;23;3
82;13demaio;32;2;olinda;2;16;4;650;3;4;1;4;4;5;4;19;0;4;0;4;43
83;13demaio;42;2;camutanga;2;9;6;300;0;4;1;4;4;3;3;43;0;25;0;25;15
84;13demaio;31;2;recife;2;12;0;998;1;4;2;4;5;4;4;9;1;45;1;3;45
85;13demaio;33;2;recife;2;10;6;1500;3;4;1;3;2;2;2;65;0;57;1;0;38
