"";"parque";"idade";"sexo";"cidade";"escolar";"renda";"infraestrutura";"sombra";"temperatura";"lance1";"lance2";"resp1";"resp2";"bidl";"bidh";"lnRendat1";"lnRendat2";"lnRenda"
"43";"sitio da trindade";42;0;"recife";1;2800;1;0;0;19;21;"1";"0";4,35889894354067;21;7,93737711962975;7,93737737473114;3,44715803134222
"44";"sitio da trindade";54;1;"recife";1;2500;0;0;0;28;3;"0";"0";3;24,4721359549996;7,82405049084626;7,82404649085618;3,39794000867204
"45";"sitio da trindade";51;1;"recife";1;2500;1;1;1;32;31;"0";"0";31;32,1961524227066;7,82405113084319;7,82405097084399;3,39794000867204
"46";"sitio da trindade";32;1;"recife";0;2500;1;1;1;20;23;"1";"1";4,47213595499958;23;7,82404921085117;7,82404969084952;3,39794000867204
"47";"sitio da trindade";34;1;"recife";0;2300;0;0;0;70;57;"0";"0";57;21;7,74067763434387;7,74067517690645;3,36172783601759
"48";"sitio da trindade";53;0;"recife";1;2100;0;0;1;6;54;"1";"0";2,44948974278318;54;7,64969398425481;7,64970486853451;3,32221929473392
"49";"sitio da trindade";57;0;"recife";0;2000;0;1;1;2;10;"1";"1";1,4142135623731;10;7,60090295954196;7,60090495953896;3,30102999566398
"50";"sitio da trindade";56;0;"recife";1;2000;1;1;1;4;47;"1";"0";2;47;7,60090345954158;7,60091420947305;3,30102999566398
"51";"sitio da trindade";53;1;"recife";1;2000;0;1;1;21;52;"1";"0";4,58257569495584;52;7,6009077095283;7,60091545945758;3,30102999566398
"52";"sitio da trindade";45;1;"recife";0;2000;1;1;1;12;31;"1";"0";3,46410161513775;31;7,60090545953758;7,60091020951205;3,30102999566398
"53";"sitio da trindade";30;0;"recife";1;2000;1;1;1;8;63;"1";"0";2,82842712474619;63;7,60090445954008;7,60091820941805;3,30102999566398
"54";"sitio da trindade";20;1;"recife";1;2000;0;0;0;24;70;"1";"0";4,89897948556636;70;7,60090845952408;7,60091995938896;3,30102999566398
