"","ID","parque","cod parque","nquest","idade","sexo","cidade","cod cidade","bairro","cod bairro","estadocivil","racacor","escolar","ocupacao","renda","depend","qdepend","objetivo","distantp","freqvis","tempoestad","tempoatfis","infraestrutura","manutencao","tamanho","sombra","seguranca","iluminacao","ruido","temperatura","qualiar","Influperman","vegetar","vegettemp","vegetruido","vegetinund","moraruido","moratemp","moraqualiar","moraarb","moradren","saudefis","saudemen","nivelstres","exppolatm","exppolson","lance1","resp1","lance2","resp2","bidl","bidh","lnRenda","t1","t2","lnRendat1","lnRendat2","...58"
"41",41,"sitio da trindade",1,"127",31,2,"recife",101,"casa amarela",10121,1,1,20,6,3000,0,0,3,300,15,90,60,3,2,4,5,4,4,5,5,5,3,4,4,4,0,2,1,4,2,1,4,3,3,1,0,11,1,32,0,3.3166247903554,32,3.47712125471966,-11,-32,8.00636878987172,8.00637112319948,NA
"42",42,"sitio da trindade",1,"71",26,2,"recife",101,"casa amarela",10121,1,4,22,6,3000,0,0,3,250,2,90,90,2,2,2,1,2,2,1,1,1,3,4,4,4,4,3,4,4,4,4,4,2,2,1,1,24,1,30,0,4.89897948556636,30,3.47712125471966,-24,-30,8.00637023431336,8.00637090097803,NA
"43",43,"sitio da trindade",1,"83",42,2,"recife",101,"alto jose do pinho",1017,1,2,22,1,2800,1,2,3,500,6,180,180,4,4,2,1,5,3,5,2,2,2,4,4,2,2,3,2,3,3,2,3,3,3,2,2,19,1,21,0,4.35889894354067,21,3.44715803134222,-19,-21,7.93737711962975,7.93737737473114,NA
"44",44,"sitio da trindade",1,"74",54,1,"recife",101,"ilha do retiro",10143,2,1,22,1,2500,0,0,3,4800,1,20,20,2,2,1,1,3,0,1,1,1,3,4,4,4,4,3,3,3,3,2,3,3,2,1,1,28,0,3,0,3,24.4721359549996,3.39794000867204,-28,-3,7.82405049084626,7.82404649085618,NA
"45",45,"sitio da trindade",1,"195",51,1,"recife",101,"casa amarela",10121,1,1,20,2,2500,1,1,3,500,10,120,90,4,4,4,5,5,2,4,4,4,3,4,4,4,3,1,4,1,1,5,1,0,3,0,0,32,0,31,0,31,32.1961524227066,3.39794000867204,-32,-31,7.82405113084319,7.82405097084399,NA
"46",46,"sitio da trindade",1,"1",32,1,"recife",101,"casa amarela",10121,2,2,16,6,2500,1,1,3,500,20,60,40,4,4,4,4,4,4,4,4,5,3,4,4,4,4,1,1,1,1,3,3,4,4,0,2,20,1,23,1,4.47213595499958,23,3.39794000867204,-20,-23,7.82404921085117,7.82404969084952,NA
"47",47,"sitio da trindade",1,"110",34,1,"recife",101,"alto jose bonifacio",1016,1,1,4,3,2300,1,2,3,1500,4,60,60,2,3,2,2,2,3,2,2,2,1,4,4,4,3,4,4,4,4,4,3,3,2,2,2,70,0,57,0,57,21,3.36172783601759,-70,-57,7.74067763434387,7.74067517690645,NA
"48",48,"sitio da trindade",1,"129",53,2,"recife",101,"casa forte",10122,1,1,20,2,2100,0,0,3,500,30,60,40,3,3,4,2,1,1,5,4,4,3,4,4,4,4,1,1,1,2,1,2,2,2,0,0,6,1,54,0,2.44948974278318,54,3.32221929473392,-6,-54,7.64969398425481,7.64970486853451,NA
"49",49,"sitio da trindade",1,"128",57,2,"recife",101,"casa amarela",10121,3,1,16,4,2000,1,2,3,500,30,60,25,3,3,3,4,1,4,4,4,4,3,4,4,4,3,5,4,4,4,4,2,2,2,2,2,2,1,10,1,1.4142135623731,10,3.30102999566398,-2,-10,7.60090295954196,7.60090495953896,NA
"50",50,"sitio da trindade",1,"144",56,2,"recife",101,"casa amarela",10121,2,2,20,2,2000,0,0,2,500,2,120,0,5,5,5,4,4,5,5,5,5,3,4,4,4,4,3,4,4,4,1,2,4,4,2,2,4,1,47,0,2,47,3.30102999566398,-4,-47,7.60090345954158,7.60091420947305,NA
"51",51,"sitio da trindade",1,"2",53,1,"recife",101,"casa amarela",10121,2,2,20,7,2000,0,0,3,750,25,120,60,3,2,4,4,3,3,4,4,4,1,4,4,4,4,1,1,1,1,4,4,4,3,0,1,21,1,52,0,4.58257569495584,52,3.30102999566398,-21,-52,7.6009077095283,7.60091545945758,NA
"52",52,"sitio da trindade",1,"153",45,1,"recife",101,"casa amarela",10121,1,2,16,2,2000,1,4,4,2000,30,120,0,4,5,3,5,3,3,4,5,5,0,4,4,4,4,5,5,5,3,5,3,2,2,3,3,12,1,31,0,3.46410161513775,31,3.30102999566398,-12,-31,7.60090545953758,7.60091020951205,NA
"53",53,"sitio da trindade",1,"160",30,2,"recife",101,"casa amarela",10121,3,1,20,2,2000,1,3,3,2000,20,60,60,5,5,5,5,2,2,5,5,5,3,4,4,4,4,3,3,3,2,3,4,4,4,4,4,8,1,63,0,2.82842712474619,63,3.30102999566398,-8,-63,7.60090445954008,7.60091820941805,NA
"54",54,"sitio da trindade",1,"151",20,1,"recife",101,"casa amarela",10121,1,1,20,2,2000,0,0,3,2000,3,120,60,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,3,2,2,1,3,3,24,1,70,0,4.89897948556636,70,3.30102999566398,-24,-70,7.60090845952408,7.60091995938896,NA
"55",55,"sitio da trindade",1,"6",25,1,"recife",101,"casa amarela",10121,1,1,16,2,1800,1,2,3,750,12,120,25,2,2,5,5,2,3,5,5,5,3,4,4,4,4,1,1,2,1,5,4,4,3,2,2,17,1,68,0,4.12310562561766,68,3.25527250510331,-17,-68,7.49554719078407,7.49556293131834,NA
"56",56,"sitio da trindade",1,"156",46,2,"recife",101,"casa amarela",10121,2,1,20,3,1500,1,3,3,1500,30,120,60,3,2,5,4,3,2,3,3,3,3,4,4,4,3,1,2,2,3,3,3,2,0,1,2,2,1,62,1,1.4142135623731,62,3.17609125905568,-2,-62,7.31322127597879,7.31324794226621,NA
"57",57,"sitio da trindade",1,"190",46,2,"recife",101,"pina",10162,1,4,12,3,1500,0,0,3,5000,30,180,180,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,2,3,67,1,68,1,8.18535277187245,68,3.17609125905568,-67,-68,7.31325016442473,7.31325060885584,NA
"58",58,"sitio da trindade",1,"12",38,2,"recife",101,"dois unidos",10134,2,4,16,7,1500,0,0,7,3500,8,240,60,4,4,5,2,4,0,5,5,4,3,4,4,4,0,1,1,4,1,5,4,3,4,1,1,41,1,69,0,6.40312423743285,69,3.17609125905568,-41,-69,7.3132386091465,7.31325105328676,NA
"59",59,"sitio da trindade",1,"163",36,2,"recife",101,"casa amarela",10121,3,4,12,3,1500,1,4,3,2000,4,120,90,5,5,5,5,3,5,5,5,5,3,4,4,2,2,4,2,5,2,2,4,4,4,4,4,42,1,66,0,6.48074069840786,66,3.17609125905568,-42,-66,7.31323905358275,7.31324971999342,NA
"60",60,"sitio da trindade",1,"192",27,2,"recife",101,"casa amarela",10121,1,4,20,2,1500,0,0,3,500,30,120,60,3,2,5,4,2,2,3,3,3,3,4,4,4,3,3,3,3,2,3,3,1,0,2,2,63,0,8,1,8,14.3166247903554,3.17609125905568,-63,-8,7.31324838669831,7.31322394263954,NA
"61",61,"sitio da trindade",1,"197",29,2,"recife",101,"casa amarela",10121,1,1,15,2,1400,1,1,6,1000,30,10,0,4,4,4,4,4,4,5,2,4,3,4,4,4,4,3,2,2,3,3,3,3,4,2,2,68,0,26,0,26,16.605551275464,3.14612803567824,-68,-26,7.24426220887908,7.24424078082149,NA
"62",62,"sitio da trindade",1,"196",24,1,"recife",101,"vasco da gama",10180,1,4,16,2,1400,1,1,2,2000,15,90,90,4,4,4,5,5,3,5,5,5,3,4,4,4,4,1,1,4,1,1,3,3,0,0,0,4,0,1,1,1,14.3166247903554,3.14612803567824,-4,-1,7.24422955641759,7.2442280258073,NA
"63",63,"sitio da trindade",1,"118",28,2,"recife",101,"casa amarela",10121,1,4,15,6,1300,1,1,3,750,1,60,60,3,2,3,3,3,2,3,2,2,2,4,4,4,3,4,2,3,4,2,4,2,2,2,0,44,1,56,0,6.6332495807108,56,3.11394335230684,-44,-56,7.17014557861367,7.17015267899531,NA
"64",64,"sitio da trindade",1,"201",24,2,"recife",101,"tamarineira",10173,1,1,16,2,1300,1,1,3,1500,3,60,60,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,2,2,4,1,63,0,2,63,3.11394335230684,-4,-63,7.17012191031073,7.17015682086133,NA
"65",65,"sitio da trindade",1,"200",51,1,"recife",101,"casa amarela",10121,2,2,16,3,1200,1,2,3,750,20,60,50,4,4,5,5,2,3,4,4,4,3,4,4,4,4,3,2,3,1,1,2,2,2,0,2,26,0,25,1,25,19,3.07918124604762,-26,-25,7.09009489116865,7.0900941967365,NA
"66",66,"sitio da trindade",1,"194",31,1,"recife",101,"torre",10175,1,2,16,0,1000,0,0,3,2000,1,60,30,4,3,5,5,5,3,4,4,5,3,4,4,1,3,1,3,3,1,3,4,3,2,2,0,67,1,69,1,8.18535277187245,69,3,-67,-69,6.90782227673774,6.90782427660175,NA
"67",67,"sitio da trindade",1,"117",22,1,"recife",101,"linha do tiro",10152,1,2,22,3,1000,0,0,3,3000,2,120,120,3,2,2,2,4,0,3,2,3,2,4,4,4,3,4,3,2,5,5,1,3,3,0,0,12,1,68,1,3.46410161513775,68,3,-12,-68,6.90776727891014,6.90782327667024,NA
"68",68,"sitio da trindade",1,"198",63,2,"recife",101,"alto santa teresinha",1018,4,4,9,3,998,1,2,3,1000,5,180,30,5,5,4,5,4,4,5,4,4,3,4,4,4,0,5,2,4,2,4,4,4,4,4,4,38,1,51,1,6.16441400296898,51,2.99913054128737,-38,-51,6.9057914280409,6.90580447961419,NA
"69",69,"sitio da trindade",1,"122",49,2,"recife",101,"casa amarela",10121,2,1,15,4,998,0,0,3,2000,20,180,120,3,3,1,2,2,0,2,3,2,3,4,4,4,4,5,5,5,4,5,3,2,2,1,0,46,0,9,0,9,49.557438524302,2.99913054128737,-46,-9,6.90579945979847,6.90576231237893,NA
